countries,total_recovered,active_cases,total_cases_per_million,death_per_million,new_cases,total_cases,total_deaths,new_deaths
"
",47787.0,555376.0,0.0,0.0,1262.0,628326.0,0.0,51.0
"
",240117.0,601170.0,0.0,0.0,15674.0,923060.0,0.0,1784.0
"
",154300.0,149138.0,0.0,0.0,4767.0,315007.0,0.0,218.0
"
",9915.0,42975.0,0.0,0.0,476.0,55170.0,0.0,32.0
"
",4227.0,3560.0,0.0,0.0,58.0,7857.0,0.0,4.0
"
",3126.0,12330.0,0.0,0.0,352.0,16296.0,0.0,2.0
"
",639.0,68.0,0.0,0.0,0.0,721.0,0.0,0.0
"
",639.0,68.0,0.0,0.0,0.0,721.0,0.0,0.0
World,444636.0,1359594.0,247.0,15.3,71591.0,1923848.0,0.0,5423.0
China,77663.0,1156.0,57.0,2.0,108.0,82160.0,0.0,2.0
USA,36948.0,526353.0,1773.0,71.0,26641.0,586941.0,0.0,1535.0
Spain,64727.0,87616.0,3638.0,380.0,3268.0,170099.0,0.0,547.0
Italy,35435.0,103616.0,2638.0,338.0,3153.0,159516.0,0.0,566.0
France,27718.0,94094.0,2095.0,229.0,4188.0,136779.0,0.0,574.0
Germany,64300.0,62578.0,1552.0,38.0,2218.0,130072.0,0.0,172.0
UK,0.0,76948.0,1305.0,167.0,4342.0,88621.0,0.0,717.0
Iran,45983.0,22735.0,873.0,55.0,1617.0,73303.0,0.0,111.0
Turkey,3957.0,55796.0,724.0,15.0,4093.0,61049.0,0.0,98.0
Belgium,6707.0,19979.0,2639.0,337.0,942.0,30589.0,0.0,303.0
Netherlands,250.0,23478.0,1550.0,165.0,964.0,26551.0,0.0,86.0
Switzerland,13700.0,10850.0,2968.0,131.0,273.0,25688.0,0.0,32.0
Canada,7756.0,17144.0,680.0,21.0,1297.0,25680.0,0.0,63.0
Brazil,173.0,21929.0,110.0,6.0,1238.0,23430.0,0.0,105.0
Russia,1470.0,16710.0,126.0,1.0,2558.0,18328.0,0.0,18.0
Portugal,277.0,16122.0,1661.0,52.0,349.0,16934.0,0.0,31.0
Austria,7343.0,6330.0,1559.0,41.0,96.0,14041.0,0.0,18.0
Israel,1855.0,9615.0,1339.0,13.0,441.0,11586.0,0.0,13.0
Sweden,381.0,9648.0,1084.0,91.0,465.0,10948.0,0.0,20.0
Ireland,25.0,10257.0,2156.0,74.0,992.0,10647.0,0.0,31.0
S. Korea,7447.0,2873.0,206.0,4.0,25.0,10537.0,0.0,3.0
India,1181.0,8914.0,8.0,0.3,1248.0,10453.0,0.0,27.0
Peru,2642.0,6926.0,297.0,7.0,2265.0,9784.0,0.0,23.0
Japan,799.0,6676.0,60.0,1.0,248.0,7618.0,0.0,20.0
Ecuador,597.0,6577.0,427.0,20.0,63.0,7529.0,0.0,22.0
Chile,2367.0,5076.0,394.0,4.0,312.0,7525.0,0.0,2.0
Poland,487.0,6202.0,183.0,6.0,260.0,6934.0,0.0,13.0
Romania,914.0,5388.0,345.0,17.0,333.0,6633.0,0.0,15.0
Norway,32.0,6437.0,1218.0,25.0,78.0,6603.0,0.0,6.0
Australia,3494.0,2804.0,249.0,2.0,46.0,6359.0,0.0,2.0
Denmark,2235.0,3798.0,1091.0,49.0,144.0,6318.0,0.0,12.0
